SupplierID,SupplierName,ContactNumber,Email,City
S001,Medina Ltd,331.266.4183,matthew92@hotmail.com,Jenniferfurt
S002,Jones and Sons,001-920-344-1793x815,jason65@gmail.com,Youngtown
S003,Mathis-Floyd,008-855-2708x071,kristen65@gmail.com,Jerryborough
S004,Chang-Mueller,894.207.1232,hudsonalicia@hotmail.com,Colebury
S005,"Webb, Mcdonald and Elliott",512.132.8935x44403,bmartinez@gmail.com,Yangstad
S006,Blake-Foster,001-831-920-6637x831,christinecarr@yahoo.com,Port Allen
S007,"Rogers, Roman and Gardner",+1-916-767-6793,timothyellis@mclaughlin-rivera.biz,Angelaport
S008,Lewis-Gilbert,326-599-5027,jimmyhenderson@farley-mcfarland.net,West Davidstad
S009,"Shelton, Oneal and Pugh",597.200.7195x05525,gina65@mason.com,New Johnnyville
S010,"Price, Sims and Moreno",+1-594-657-4388x5335,mwhite@jefferson.com,East Cynthiaberg
S011,Bell Group,+1-106-989-1603,clarklisa@hotmail.com,New Cathy
S012,Thomas PLC,001-974-000-4198x864,chenmiguel@hotmail.com,South Andrewmouth
S013,Hall and Sons,215.898.5777x775,millertammy@gmail.com,Johntown
S014,Johnson-Allen,088.724.3210x6636,paula53@riddle.com,Franciscotown
S015,Montgomery PLC,109.480.5978x56659,camerongarcia@yahoo.com,Benjaminbury
S016,Carter and Sons,001-702-206-9281x182,cwilcox@huerta.com,Forbesfurt
S017,"Paul, Clark and Buckley",515.664.5393x53549,knelson@gmail.com,Marshallstad
S018,"Morales, Brown and Warren",757.895.9820x0382,asteele@dodson.com,Coltonshire
S019,"Wilkerson, Hart and Estrada",903-599-9213,bhiggins@yahoo.com,Port Catherine
S020,Burton LLC,540-703-5336x4618,michelenielsen@yahoo.com,Tracytown
